open_time,open,high,low,close,volume
1767465900000,4348.31,4348.76,4348.2,4348.21,0.351
1767466800000,4348.21,4350.0,4347.33,4347.53,16.579
1767467700000,4347.77,4348.91,4347.53,4348.91,9.766
1767468600000,4348.91,4349.07,4348.9,4348.9,3.764
1767469500000,4348.9,4348.91,4347.29,4348.37,24.945
1767470400000,4348.3,4349.99,4348.3,4349.79,7.222
1767471300000,4350.0,4351.44,4350.0,4351.43,9.157
1767472200000,4351.54,4352.3,4351.53,4351.68,4.526
1767473100000,4351.67,4352.88,4350.5,4350.5,2.887
1767474000000,4350.5,4350.5,4346.89,4347.33,6.059
1767474900000,4348.73,4348.73,4347.64,4347.64,4.025
1767475800000,4347.63,4348.98,4347.63,4348.64,5.748
1767476700000,4348.65,4350.83,4347.78,4350.77,9.679
1767477600000,4350.76,4351.27,4350.37,4351.27,1.801
1767478500000,4350.4,4350.4,4347.49,4347.49,5.599
1767479400000,4347.49,4347.87,4346.01,4347.87,32.334
1767480300000,4347.87,4349.16,4347.65,4348.56,4.214
1767481200000,4348.86,4349.38,4347.9,4348.31,16.869
1767482100000,4348.31,4348.31,4345.89,4345.89,27.019
1767483000000,4345.94,4346.37,4345.63,4345.63,17.192
1767483900000,4345.62,4345.62,4341.86,4342.02,15.327
1767484800000,4342.02,4344.38,4340.2,4341.11,36.931
1767485700000,4341.02,4341.26,4340.56,4341.03,11.261
1767486600000,4341.03,4341.26,4340.0,4340.01,6.936
1767487500000,4340.01,4340.32,4339.47,4340.32,9.281
1767488400000,4340.66,4340.73,4339.33,4340.38,19.97
1767489300000,4340.38,4341.3,4339.33,4341.3,13.131
1767490200000,4342.77,4344.26,4342.25,4344.26,4.104
1767491100000,4344.25,4345.86,4344.25,4345.0,2.736
1767492000000,4345.0,4346.5,4341.95,4345.03,38.452
1767492900000,4346.12,4346.12,4342.45,4342.8,3.163
1767493800000,4341.72,4342.56,4340.02,4340.65,1.818
1767494700000,4340.66,4341.53,4339.0,4339.81,4.236
1767495600000,4340.01,4340.01,4338.6,4338.77,1.476
1767496500000,4338.35,4339.99,4335.0,4339.7,49.67
1767497400000,4339.97,4339.97,4335.48,4335.48,13.888
1767498300000,4335.44,4338.87,4334.5,4337.06,25.46
1767499200000,4336.53,4338.26,4336.53,4337.37,5.892
1767500100000,4337.39,4338.26,4336.8,4336.8,12.948
1767501000000,4336.8,4337.13,4335.41,4335.91,3.95
1767501900000,4335.9,4335.92,4335.47,4335.91,1.328
1767502800000,4335.91,4335.92,4334.9,4335.87,3.776
1767503700000,4335.86,4335.86,4330.69,4333.68,11.84
1767504600000,4333.68,4334.08,4332.88,4334.01,1.623
1767505500000,4334.54,4336.62,4332.37,4333.36,9.911
1767506400000,4333.36,4337.0,4333.36,4335.76,27.264
1767507300000,4335.75,4336.53,4334.01,4335.85,11.116
1767508200000,4335.85,4339.11,4335.85,4338.31,2.673
1767509100000,4339.1,4341.71,4338.86,4340.24,4.638
1767510000000,4340.1,4340.65,4338.88,4340.05,3.299
1767510900000,4340.04,4342.48,4338.07,4338.46,20.685
1767511800000,4338.11,4341.78,4338.09,4340.49,5.447
1767512700000,4339.8,4342.95,4339.77,4341.44,13.464
1767513600000,4341.44,4342.22,4339.59,4340.59,37.028
1767514500000,4340.21,4340.21,4338.72,4338.72,1.464
1767515400000,4338.73,4339.64,4338.07,4338.47,1.283
1767516300000,4339.33,4339.33,4337.16,4338.14,14.563
1767517200000,4338.08,4338.09,4336.62,4336.76,4.568
1767518100000,4336.93,4339.24,4336.62,4338.19,9.233
1767519000000,4338.23,4339.56,4337.55,4338.88,7.11
1767519900000,4338.89,4339.19,4337.99,4339.19,1.474
1767520800000,4339.15,4339.19,4338.23,4338.98,0.898
1767521700000,4338.99,4339.19,4338.98,4339.19,0.266
1767522600000,4339.18,4340.24,4337.86,4340.01,4.059
1767523500000,4340.0,4340.0,4338.74,4339.29,3.355
1767524400000,4339.29,4339.29,4335.65,4335.65,43.838
1767525300000,4337.08,4338.56,4335.65,4335.74,67.426
1767526200000,4335.81,4335.81,4332.27,4333.46,41.415
1767527100000,4333.46,4333.46,4332.0,4332.0,2.85
1767528000000,4332.33,4334.92,4332.3,4334.1,3.934
1767528900000,4334.79,4335.02,4333.85,4334.95,4.236
1767529800000,4334.54,4334.54,4332.0,4332.01,8.587
1767530700000,4332.02,4332.89,4332.0,4332.88,4.712
1767531600000,4332.89,4333.5,4331.21,4333.5,17.179
1767532500000,4333.5,4333.5,4333.49,4333.5,12.672
1767533400000,4333.5,4333.94,4333.25,4333.94,13.791
1767534300000,4333.94,4334.8,4333.3,4334.62,15.121
1767535200000,4334.62,4334.93,4333.82,4334.26,16.033
1767536100000,4334.26,4335.99,4334.26,4334.84,6.077
1767537000000,4335.02,4335.02,4334.35,4334.74,2.111
1767537900000,4334.99,4337.32,4334.74,4337.32,4.765
1767538800000,4337.32,4339.06,4337.31,4338.86,5.784
1767539700000,4338.86,4342.55,4338.27,4341.63,15.92
1767540600000,4341.62,4344.0,4341.62,4342.46,12.854
1767541500000,4342.56,4342.56,4340.64,4341.06,6.529
1767542400000,4341.32,4343.41,4341.31,4342.19,15.741
1767543300000,4342.2,4344.03,4342.19,4344.02,29.898
1767544200000,4344.02,4344.02,4343.14,4344.02,29.078
1767545100000,4344.02,4344.02,4343.13,4343.7,4.546
1767546000000,4343.65,4346.55,4343.65,4345.15,4.927
1767546900000,4345.07,4345.08,4344.46,4344.8,2.428
1767547800000,4344.46,4345.78,4344.46,4345.36,2.599
1767548700000,4345.35,4345.78,4342.17,4342.17,3.08
1767549600000,4342.16,4344.95,4342.16,4344.68,33.031
1767550500000,4344.68,4345.0,4344.42,4345.0,2.773
1767551400000,4344.99,4345.0,4344.4,4344.99,6.734
1767552300000,4344.99,4345.0,4344.99,4345.0,3.079
1767553200000,4346.0,4346.97,4345.0,4345.01,12.144
1767554100000,4345.25,4346.97,4345.19,4346.3,2.69
1767555000000,4345.78,4345.78,4343.58,4343.58,27.177
1767555900000,4343.57,4344.96,4343.57,4344.4,10.494
1767556800000,4344.74,4348.69,4344.74,4348.15,9.754
1767557700000,4346.8,4347.76,4346.79,4347.76,2.408
1767558600000,4348.61,4348.7,4347.53,4348.7,3.818
1767559500000,4348.7,4353.26,4347.78,4352.67,6.526
1767560400000,4353.29,4355.19,4352.17,4353.73,6.384
1767561300000,4353.0,4354.51,4349.78,4354.51,5.621
1767562200000,4354.51,4359.65,4354.23,4355.11,6.272
1767563100000,4352.88,4352.88,4346.19,4347.19,4.926
1767564000000,4346.87,4347.39,4341.47,4342.32,8.937
1767564900000,4344.29,4345.71,4343.45,4344.01,10.491
1767565800000,4341.8,4341.8,4338.0,4340.01,11.505
1767566700000,4340.01,4340.02,4336.24,4339.81,50.628
1767567600000,4339.81,4364.73,4337.52,4362.64,142.495
1767568500000,4361.57,4364.94,4351.23,4358.49,33.345
1767569400000,4358.5,4359.7,4344.05,4355.91,42.405
1767570300000,4356.02,4365.99,4355.91,4360.72,52.364
1767571200000,4361.45,4371.98,4361.45,4368.11,35.219
1767572100000,4371.05,4379.16,4368.81,4378.0,28.833
1767573000000,4378.25,4389.45,4376.45,4382.9,48.413
1767573900000,4382.42,4387.19,4374.57,4384.19,67.834
1767574800000,4385.05,4404.74,4385.05,4393.36,171.295
1767575700000,4394.0,4402.83,4392.72,4394.51,77.309
1767576600000,4394.51,4401.87,4391.05,4398.0,97.462
1767577500000,4397.99,4400.0,4392.02,4399.98,78.882
1767578400000,4399.87,4402.94,4390.0,4393.55,48.875
1767579300000,4393.42,4401.54,4391.76,4399.61,27.098
1767580200000,4399.91,4404.0,4397.69,4398.44,23.358
1767581100000,4397.77,4404.0,4396.87,4403.29,39.49
1767582000000,4403.29,4412.5,4403.28,4412.0,98.613
1767582900000,4412.01,4417.01,4406.62,4408.24,49.721
1767583800000,4408.23,4408.23,4397.55,4405.81,43.834
1767584700000,4405.81,4407.14,4392.0,4392.46,19.398
1767585600000,4392.0,4397.35,4388.62,4394.2,39.511
1767586500000,4394.19,4398.48,4389.59,4396.89,37.57
1767587400000,4397.41,4404.41,4396.81,4402.36,32.528
1767588300000,4402.36,4405.48,4399.55,4401.43,18.76
1767589200000,4401.43,4402.75,4395.81,4399.95,28.594
1767590100000,4399.96,4405.0,4399.96,4405.0,18.813
1767591000000,4405.0,4407.7,4395.01,4395.17,44.712
1767591900000,4395.17,4407.0,4395.0,4406.81,32.71
1767592800000,4406.63,4421.55,4404.36,4417.98,86.619
1767593700000,4417.98,4432.82,4414.16,4422.69,124.747
1767594600000,4422.69,4426.71,4414.35,4423.0,74.145
1767595500000,4422.25,4428.18,4420.17,4420.66,24.345
1767596400000,4420.7,4422.93,4403.0,4412.76,65.729
1767597300000,4413.88,4420.34,4412.23,4417.66,24.318
1767598200000,4417.65,4421.09,4415.75,4418.89,37.124
1767599100000,4418.97,4419.14,4413.53,4416.28,44.127
1767600000000,4416.28,4421.67,4410.0,4421.67,28.092
1767600900000,4418.44,4426.8,4415.95,4423.6,43.185
1767601800000,4423.48,4424.97,4417.15,4424.52,31.09
1767602700000,4424.57,4430.14,4424.57,4426.53,38.16
1767603600000,4425.99,4427.81,4421.21,4426.63,34.255
1767604500000,4426.49,4439.22,4425.91,4434.75,51.407
1767605400000,4434.17,4438.91,4429.84,4438.91,43.645
1767606300000,4438.88,4438.99,4432.06,4435.01,19.681
1767607200000,4435.2,4435.92,4425.67,4427.83,19.024
1767608100000,4427.9,4432.0,4426.86,4430.71,13.831
1767609000000,4430.7,4434.76,4429.98,4431.75,15.268
1767609900000,4431.74,4435.68,4431.51,4432.27,23.07
1767610800000,4432.28,4433.11,4425.54,4428.03,24.041
1767611700000,4428.04,4428.38,4403.0,4413.57,87.045
1767612600000,4413.56,4419.0,4411.93,4418.99,51.03
1767613500000,4419.0,4420.0,4412.43,4415.69,38.881
1767614400000,4414.67,4417.36,4409.11,4413.7,33.138
1767615300000,4413.62,4417.44,4409.02,4414.33,36.486
1767616200000,4414.46,4415.88,4399.09,4403.87,73.499
1767617100000,4403.77,4410.22,4401.93,4406.87,37.782
1767618000000,4406.1,4418.25,4406.01,4408.0,58.441
1767618900000,4407.58,4412.07,4396.17,4397.87,53.46
1767619800000,4398.2,4414.82,4397.31,4411.95,55.606
1767620700000,4411.95,4416.84,4410.83,4416.28,38.653
1767621600000,4416.83,4426.8,4416.7,4424.03,109.66
1767622500000,4424.03,4428.57,4418.16,4418.78,84.747
1767623400000,4418.29,4427.14,4415.53,4427.14,46.013
1767624300000,4426.55,4439.6,4425.53,4432.9,169.513
1767625200000,4432.91,4450.0,4432.91,4443.91,249.901
1767626100000,4442.92,4446.56,4437.0,4438.39,55.307
1767627000000,4438.83,4441.0,4428.38,4441.0,53.477
1767627900000,4441.29,4443.96,4434.37,4442.07,37.172
1767628800000,4442.07,4443.87,4432.0,4440.82,100.292
1767629700000,4440.82,4443.82,4436.04,4436.39,49.456
1767630600000,4436.39,4442.03,4435.43,4440.78,31.549
1767631500000,4441.28,4450.0,4436.83,4437.43,48.811
1767632400000,4437.75,4438.98,4429.71,4438.98,67.635
1767633300000,4439.92,4446.42,4439.14,4442.72,65.099
1767634200000,4442.24,4444.72,4434.72,4436.58,38.066
1767635100000,4436.58,4442.75,4436.06,4440.75,25.298
1767636000000,4440.75,4445.27,4438.73,4444.11,18.005
1767636900000,4445.58,4445.84,4437.26,4439.5,21.759
1767637800000,4441.04,4444.07,4439.23,4440.73,17.243
1767638700000,4441.07,4444.28,4440.18,4443.55,9.628
1767639600000,4444.88,4445.51,4433.0,4437.66,22.199
1767640500000,4437.66,4439.84,4435.21,4439.38,17.206
1767641400000,4439.38,4443.08,4438.38,4440.78,11.924
1767642300000,4440.78,4442.17,4435.98,4438.05,16.772
1767643200000,4438.05,4441.99,4437.13,4440.95,11.829
