open_time,open,high,low,close,volume
1778198400000,4706.24,4711.67,4696.51,4703.21,7351.071
1778202000000,4703.21,4726.39,4702.38,4723.57,12083.313
1778205600000,4723.56,4732.86,4708.63,4714.33,10938.13
1778209200000,4714.33,4732.23,4712.07,4720.76,5626.873
1778212800000,4720.77,4724.62,4710.01,4712.35,4880.632
1778216400000,4712.36,4731.72,4711.45,4728.25,5989.991
1778220000000,4728.26,4735.14,4715.0,4726.79,8406.079
1778223600000,4726.79,4727.59,4700.0,4710.23,13498.705
1778227200000,4710.24,4724.65,4708.7,4716.81,7835.306
1778230800000,4716.81,4724.0,4709.0,4713.67,7228.428
1778234400000,4713.66,4729.2,4712.88,4720.7,5908.049
1778238000000,4720.7,4728.15,4715.82,4719.3,4999.944
1778241600000,4719.3,4732.32,4705.2,4725.12,19809.342
1778245200000,4725.11,4749.43,4717.67,4749.43,19477.275
1778248800000,4749.43,4751.68,4716.06,4718.11,25601.937
1778252400000,4718.11,4721.83,4705.32,4709.51,16614.597
1778256000000,4709.51,4721.56,4708.16,4714.1,6396.592
1778259600000,4714.11,4724.42,4713.93,4722.09,3358.19
1778263200000,4722.1,4730.16,4721.55,4723.9,4074.103
1778266800000,4723.9,4727.88,4723.08,4724.87,3169.726
1778270400000,4724.86,4724.86,4716.01,4718.82,5932.3
1778274000000,4718.82,4721.44,4717.76,4718.79,706.395
1778277600000,4718.79,4718.79,4715.28,4717.53,1168.939
1778281200000,4717.54,4717.54,4715.02,4715.02,466.01
1778284800000,4715.01,4716.97,4714.61,4716.97,540.098
1778288400000,4716.97,4719.0,4716.69,4718.99,518.988
1778292000000,4719.0,4723.68,4718.99,4720.84,652.722
1778295600000,4720.83,4720.84,4715.72,4717.61,906.682
1778299200000,4717.61,4719.72,4717.2,4718.62,406.2
1778302800000,4718.61,4719.58,4717.0,4718.1,448.259
1778306400000,4718.09,4719.01,4718.09,4719.0,389.053
1778310000000,4719.01,4719.01,4718.19,4718.19,294.88
1778313600000,4718.19,4718.2,4716.48,4716.49,392.607
1778317200000,4716.49,4717.4,4716.2,4716.73,214.161
1778320800000,4716.73,4717.0,4716.0,4716.0,301.421
1778324400000,4716.0,4717.24,4716.0,4717.24,164.317
1778328000000,4717.24,4718.0,4716.72,4716.72,358.363
1778331600000,4716.72,4716.73,4716.22,4716.49,242.442
1778335200000,4716.49,4717.24,4715.04,4715.51,460.646
1778338800000,4715.5,4716.4,4715.5,4716.39,208.732
1778342400000,4716.39,4717.54,4716.15,4716.92,289.523
1778346000000,4716.91,4718.8,4716.91,4718.17,310.782
1778349600000,4718.16,4720.54,4718.16,4719.68,267.486
1778353200000,4719.67,4721.32,4719.35,4721.31,655.478
1778356800000,4721.32,4722.0,4721.1,4721.12,194.203
1778360400000,4721.11,4723.0,4721.11,4723.0,297.092
1778364000000,4723.0,4723.0,4721.16,4721.23,372.353
1778367600000,4721.23,4721.24,4720.42,4721.23,260.567
1778371200000,4721.23,4723.5,4721.22,4723.49,350.532
1778374800000,4723.49,4723.49,4721.44,4721.59,171.616
1778378400000,4721.59,4721.73,4720.42,4721.52,428.393
1778382000000,4721.52,4723.48,4720.41,4723.27,874.429
1778385600000,4723.27,4727.0,4723.26,4725.44,492.553
1778389200000,4725.45,4725.45,4723.97,4725.08,319.601
1778392800000,4725.08,4725.85,4724.49,4724.5,256.325
1778396400000,4724.49,4724.5,4722.35,4722.35,530.366
1778400000000,4722.36,4723.85,4720.73,4723.11,536.868
1778403600000,4723.11,4724.5,4722.85,4723.16,251.737
1778407200000,4723.17,4725.02,4723.16,4724.31,285.686
1778410800000,4724.31,4730.12,4724.07,4730.03,1286.493
1778414400000,4730.03,4732.0,4726.09,4727.22,769.207
1778418000000,4727.22,4732.0,4726.94,4730.47,889.054
1778421600000,4730.47,4730.47,4727.33,4730.22,672.027
1778425200000,4730.23,4734.0,4730.22,4733.67,905.91
1778428800000,4733.66,4735.6,4731.37,4732.09,706.309
1778432400000,4732.09,4735.33,4730.65,4733.76,1018.46
1778436000000,4733.77,4735.65,4731.6,4732.56,848.449
1778439600000,4732.56,4733.25,4727.52,4731.65,1141.846
1778443200000,4731.65,4731.65,4715.12,4717.02,2621.539
1778446800000,4717.01,4720.88,4708.0,4714.06,2481.311
1778450400000,4714.06,4719.8,4682.0,4695.5,27192.216
1778454000000,4695.49,4702.86,4692.54,4695.44,7220.606
1778457600000,4695.44,4697.0,4672.59,4686.42,15864.013
1778461200000,4686.41,4708.73,4677.48,4688.33,15436.766
1778464800000,4688.33,4704.0,4680.6,4684.67,10038.216
1778468400000,4684.67,4693.95,4678.8,4681.27,9097.729
1778472000000,4681.32,4682.55,4671.28,4675.55,6297.881
1778475600000,4675.56,4682.5,4651.37,4655.41,14425.878
1778479200000,4655.42,4683.53,4652.74,4680.86,8952.698
1778482800000,4680.86,4682.88,4667.4,4670.68,5707.806
1778486400000,4670.69,4681.45,4667.66,4670.5,5556.34
1778490000000,4670.51,4673.45,4654.78,4660.2,9677.024
1778493600000,4660.19,4670.69,4659.76,4666.81,7635.398
1778497200000,4666.82,4679.58,4666.82,4676.76,5040.268
1778500800000,4676.77,4703.63,4670.6,4703.14,24453.269
1778504400000,4702.84,4749.81,4701.25,4738.01,44127.163
1778508000000,4738.0,4739.91,4718.17,4729.04,27302.518
1778511600000,4729.04,4741.28,4726.39,4735.43,9298.012
1778515200000,4735.43,4736.72,4711.78,4720.01,10744.944
1778518800000,4720.0,4727.91,4719.47,4726.55,3502.619
1778522400000,4726.56,4732.84,4723.66,4727.72,7088.74
1778526000000,4727.64,4738.89,4725.49,4735.98,3626.047
1778529600000,4735.99,4740.28,4732.56,4737.17,4656.747
1778533200000,4737.16,4739.86,4731.2,4737.04,1432.823
1778536800000,4737.03,4756.73,4737.02,4753.42,9931.032
1778540400000,4753.43,4773.38,4748.4,4769.94,9029.948
1778544000000,4770.15,4776.83,4752.24,4753.01,16619.174
1778547600000,4753.01,4758.11,4724.0,4730.04,20454.5
1778551200000,4730.04,4737.49,4725.88,4733.09,11646.281
1778554800000,4733.09,4735.49,4721.32,4723.43,8989.041
1778558400000,4723.42,4732.99,4714.83,4717.39,10711.122
1778562000000,4717.38,4725.28,4711.9,4717.85,14696.146
1778565600000,4717.92,4717.92,4698.26,4700.48,20273.871
1778569200000,4700.49,4706.52,4689.28,4703.12,17177.995
1778572800000,4703.12,4709.99,4699.61,4705.91,10411.105
1778576400000,4705.98,4707.91,4697.88,4702.39,13320.988
1778580000000,4702.4,4710.87,4688.6,4697.06,16619.775
1778583600000,4697.06,4712.03,4689.8,4709.7,17129.979
1778587200000,4709.7,4714.99,4692.6,4708.4,34213.33
1778590800000,4708.4,4711.47,4678.47,4681.84,35540.233
1778594400000,4681.85,4697.75,4671.73,4675.67,24800.213
1778598000000,4675.68,4678.92,4642.18,4668.47,37266.391
1778601600000,4668.48,4677.2,4666.72,4673.73,14328.922
1778605200000,4673.73,4684.89,4673.73,4680.99,11721.032
1778608800000,4680.99,4699.98,4678.45,4697.63,12217.679
1778612400000,4697.64,4716.97,4697.54,4716.97,12843.818
1778616000000,4717.0,4719.99,4713.09,4717.13,6316.46
1778619600000,4716.97,4716.97,4713.81,4714.36,1814.055
1778623200000,4714.35,4724.0,4714.35,4718.69,9187.214
1778626800000,4718.69,4725.25,4717.14,4718.4,6754.694
1778630400000,4718.41,4728.59,4715.55,4716.43,9247.046
1778634000000,4716.42,4719.38,4702.73,4704.44,10350.872
1778637600000,4704.44,4709.38,4691.08,4694.6,7818.633
1778641200000,4694.61,4709.1,4692.02,4699.03,6662.936
1778644800000,4699.04,4706.5,4697.34,4702.59,4501.661
1778648400000,4702.56,4709.87,4695.44,4706.21,6758.359
1778652000000,4706.31,4716.86,4702.04,4704.12,8577.082
1778655600000,4704.12,4711.43,4698.96,4705.81,5772.032
1778659200000,4705.8,4706.72,4697.41,4703.41,5424.766
1778662800000,4703.41,4703.99,4688.4,4702.92,9637.78
1778666400000,4702.93,4712.0,4696.33,4696.95,6942.961
1778670000000,4696.95,4707.65,4694.52,4700.42,5076.041
1778673600000,4700.41,4704.16,4678.91,4686.36,21452.721
1778677200000,4686.35,4696.61,4672.68,4681.7,17950.91
1778680800000,4681.7,4693.3,4676.34,4683.38,12598.434
1778684400000,4683.39,4702.95,4682.25,4697.48,8655.917
1778688000000,4697.49,4711.59,4697.25,4698.39,8749.796
1778691600000,4698.39,4704.05,4687.0,4687.51,7520.683
